Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas40       Pavarde40      3     	5     	4     	10    	10    	7     	8     	8     	5     	4     	9     	2     	2     	8     	10    	9     	
Vardas41       Pavarde41      5     	8     	9     	7     	1     	2     	7     	5     	2     	2     	7     	3     	4     	8     	1     	7     	
Vardas42       Pavarde42      8     	6     	4     	4     	5     	1     	1     	10    	3     	7     	8     	8     	5     	3     	4     	1     	
Vardas43       Pavarde43      2     	8     	3     	10    	3     	2     	3     	1     	4     	3     	2     	9     	1     	2     	7     	4     	
Vardas44       Pavarde44      9     	5     	3     	2     	1     	1     	9     	2     	4     	10    	5     	8     	10    	3     	4     	8     	
Vardas45       Pavarde45      8     	9     	1     	4     	7     	3     	6     	3     	6     	3     	9     	7     	3     	7     	1     	5     	
Vardas46       Pavarde46      2     	6     	7     	3     	2     	1     	2     	10    	10    	6     	4     	7     	3     	3     	3     	10    	
Vardas47       Pavarde47      8     	2     	5     	9     	7     	4     	6     	5     	2     	4     	5     	6     	8     	3     	5     	10    	
Vardas48       Pavarde48      4     	8     	3     	8     	3     	8     	5     	9     	3     	3     	2     	2     	5     	10    	8     	2     	
Vardas49       Pavarde49      1     	6     	7     	9     	10    	9     	7     	9     	10    	4     	1     	5     	10    	9     	8     	2     	
Vardas50       Pavarde50      1     	2     	6     	6     	7     	8     	3     	8     	7     	10    	8     	5     	7     	6     	5     	5     	
Vardas51       Pavarde51      4     	10    	6     	4     	4     	9     	5     	3     	9     	7     	1     	2     	5     	2     	3     	10    	
Vardas52       Pavarde52      5     	10    	9     	4     	4     	9     	9     	3     	4     	6     	2     	5     	5     	4     	5     	2     	
Vardas53       Pavarde53      9     	7     	9     	3     	7     	7     	7     	6     	2     	9     	9     	5     	10    	8     	8     	1     	
Vardas54       Pavarde54      3     	8     	6     	6     	9     	1     	3     	1     	4     	7     	10    	4     	9     	3     	7     	9     	
Vardas55       Pavarde55      8     	2     	8     	5     	4     	4     	3     	3     	4     	1     	9     	9     	2     	7     	9     	1     	
Vardas56       Pavarde56      3     	7     	10    	9     	10    	6     	4     	3     	5     	1     	6     	7     	7     	10    	7     	2     	
Vardas57       Pavarde57      6     	6     	2     	2     	7     	8     	9     	5     	5     	8     	6     	4     	3     	9     	10    	7     	
Vardas58       Pavarde58      2     	9     	7     	5     	5     	2     	5     	7     	10    	1     	1     	5     	5     	8     	6     	6     	
Vardas59       Pavarde59      1     	3     	8     	10    	5     	6     	5     	10    	2     	6     	6     	6     	1     	5     	1     	7     	
Vardas60       Pavarde60      10    	6     	10    	7     	5     	3     	2     	4     	3     	6     	6     	6     	8     	6     	7     	7     	
Vardas61       Pavarde61      3     	6     	1     	7     	10    	5     	10    	10    	5     	9     	8     	8     	3     	6     	7     	6     	
Vardas62       Pavarde62      6     	5     	3     	1     	3     	10    	3     	5     	1     	8     	3     	6     	8     	1     	3     	8     	
Vardas63       Pavarde63      9     	2     	2     	10    	8     	8     	7     	8     	5     	2     	1     	7     	10    	4     	5     	8     	
Vardas64       Pavarde64      10    	1     	2     	9     	8     	7     	7     	7     	8     	1     	10    	5     	8     	9     	3     	8     	
Vardas65       Pavarde65      8     	8     	5     	2     	2     	4     	1     	10    	8     	1     	6     	10    	6     	3     	8     	8     	
Vardas66       Pavarde66      9     	9     	6     	5     	1     	1     	8     	2     	8     	4     	9     	5     	9     	7     	1     	6     	
Vardas67       Pavarde67      4     	6     	9     	7     	4     	5     	3     	6     	5     	6     	8     	9     	2     	7     	2     	9     	
Vardas68       Pavarde68      10    	5     	5     	6     	4     	4     	5     	9     	6     	8     	5     	4     	3     	10    	10    	6     	
Vardas69       Pavarde69      8     	10    	7     	8     	10    	4     	2     	9     	6     	4     	5     	8     	3     	9     	8     	8     	
Vardas70       Pavarde70      5     	5     	10    	4     	9     	4     	1     	6     	4     	9     	4     	6     	4     	10    	4     	2     	
Vardas71       Pavarde71      6     	5     	6     	3     	10    	7     	10    	10    	4     	9     	6     	4     	9     	1     	9     	1     	
Vardas72       Pavarde72      3     	7     	7     	4     	2     	9     	1     	3     	4     	5     	5     	6     	7     	7     	4     	8     	
Vardas73       Pavarde73      1     	2     	6     	1     	2     	10    	7     	5     	9     	2     	8     	2     	3     	3     	7     	1     	
Vardas74       Pavarde74      4     	8     	4     	7     	4     	10    	7     	1     	1     	2     	4     	9     	7     	7     	4     	2     	
Vardas75       Pavarde75      1     	5     	2     	5     	8     	6     	4     	4     	8     	8     	1     	9     	3     	5     	5     	8     	
Vardas76       Pavarde76      9     	8     	3     	10    	8     	4     	4     	3     	3     	4     	4     	6     	7     	2     	3     	3     	
Vardas77       Pavarde77      8     	6     	5     	2     	4     	3     	9     	3     	1     	9     	1     	7     	5     	1     	1     	2     	
Vardas78       Pavarde78      4     	9     	1     	3     	5     	8     	1     	10    	3     	4     	2     	5     	9     	1     	2     	9     	
Vardas79       Pavarde79      5     	7     	10    	3     	8     	3     	2     	2     	7     	10    	9     	3     	2     	2     	4     	4     	
Vardas80       Pavarde80      6     	7     	1     	1     	3     	4     	10    	1     	8     	8     	1     	10    	9     	8     	7     	9     	
Vardas81       Pavarde81      7     	2     	3     	4     	4     	4     	5     	8     	10    	5     	10    	3     	1     	6     	2     	1     	
Vardas82       Pavarde82      10    	2     	5     	2     	2     	1     	1     	10    	9     	9     	3     	10    	5     	9     	7     	8     	
Vardas83       Pavarde83      7     	6     	1     	3     	4     	5     	8     	7     	8     	2     	9     	9     	8     	3     	10    	5     	
Vardas84       Pavarde84      4     	7     	7     	4     	2     	1     	10    	7     	1     	5     	4     	2     	2     	2     	7     	2     	
Vardas85       Pavarde85      4     	7     	1     	6     	6     	1     	4     	8     	7     	10    	9     	2     	4     	10    	9     	5     	
Vardas86       Pavarde86      4     	9     	1     	8     	2     	8     	6     	7     	3     	4     	5     	5     	8     	7     	8     	7     	
Vardas87       Pavarde87      3     	3     	5     	3     	2     	5     	7     	2     	6     	10    	3     	8     	8     	6     	4     	7     	
Vardas88       Pavarde88      8     	2     	5     	1     	5     	8     	5     	7     	9     	7     	1     	5     	6     	9     	7     	7     	
Vardas89       Pavarde89      8     	5     	10    	5     	2     	6     	1     	10    	9     	2     	1     	1     	3     	4     	8     	4     	
Vardas90       Pavarde90      8     	3     	1     	1     	4     	7     	1     	8     	1     	9     	6     	8     	9     	6     	3     	9     	
Vardas91       Pavarde91      6     	7     	3     	2     	8     	8     	6     	9     	5     	8     	6     	5     	8     	9     	10    	8     	
Vardas92       Pavarde92      7     	7     	9     	2     	8     	6     	5     	5     	10    	4     	4     	2     	8     	9     	9     	8     	
Vardas93       Pavarde93      7     	8     	6     	4     	8     	5     	10    	2     	6     	3     	7     	8     	1     	3     	6     	10    	
Vardas94       Pavarde94      10    	4     	10    	2     	2     	5     	10    	4     	6     	1     	1     	3     	5     	7     	1     	8     	
Vardas95       Pavarde95      8     	3     	4     	3     	10    	3     	9     	4     	8     	6     	9     	8     	2     	4     	7     	2     	
Vardas96       Pavarde96      4     	2     	8     	9     	3     	7     	3     	5     	1     	1     	3     	8     	1     	10    	8     	7     	
Vardas97       Pavarde97      3     	9     	5     	4     	8     	3     	7     	8     	9     	8     	4     	6     	10    	2     	6     	4     	
Vardas98       Pavarde98      1     	1     	9     	1     	3     	2     	4     	8     	3     	10    	5     	5     	9     	1     	7     	3     	
Vardas99       Pavarde99      6     	2     	9     	5     	9     	3     	1     	10    	10    	9     	7     	9     	7     	10    	8     	6     	
Vardas100      Pavarde100     5     	6     	2     	9     	6     	3     	7     	9     	6     	9     	5     	4     	9     	1     	4     	4     	
Vardas101      Pavarde101     2     	6     	10    	10    	4     	8     	5     	6     	10    	8     	9     	1     	1     	3     	9     	6     	
Vardas102      Pavarde102     8     	7     	5     	7     	10    	8     	9     	1     	3     	8     	1     	8     	3     	3     	3     	9     	
Vardas103      Pavarde103     5     	2     	9     	2     	1     	2     	6     	10    	6     	5     	8     	7     	9     	3     	7     	9     	
Vardas104      Pavarde104     5     	1     	4     	7     	9     	2     	7     	1     	6     	5     	9     	6     	3     	1     	7     	2     	
Vardas105      Pavarde105     9     	1     	9     	9     	5     	10    	10    	8     	7     	6     	10    	3     	6     	5     	2     	6     	
Vardas106      Pavarde106     2     	3     	5     	7     	5     	1     	3     	8     	9     	10    	4     	4     	2     	6     	7     	8     	
Vardas107      Pavarde107     1     	9     	6     	7     	4     	6     	3     	5     	2     	10    	3     	9     	9     	5     	6     	7     	
Vardas108      Pavarde108     3     	10    	6     	1     	6     	1     	7     	3     	9     	5     	7     	9     	7     	1     	1     	6     	
Vardas109      Pavarde109     3     	2     	5     	9     	8     	1     	7     	1     	4     	3     	5     	1     	9     	2     	1     	5     	
Vardas110      Pavarde110     9     	10    	10    	10    	4     	1     	4     	5     	9     	1     	9     	1     	4     	7     	6     	5     	
Vardas111      Pavarde111     2     	8     	7     	4     	3     	1     	10    	10    	8     	8     	7     	8     	7     	10    	6     	5     	
Vardas112      Pavarde112     1     	2     	3     	6     	9     	2     	6     	10    	6     	6     	2     	7     	10    	5     	3     	4     	
Vardas113      Pavarde113     8     	4     	10    	10    	10    	8     	6     	2     	3     	3     	8     	8     	10    	2     	1     	1     	
Vardas114      Pavarde114     4     	3     	9     	2     	3     	5     	9     	4     	2     	3     	4     	5     	10    	4     	3     	4     	
Vardas115      Pavarde115     8     	8     	8     	7     	7     	3     	1     	5     	7     	1     	5     	8     	2     	6     	1     	10    	
Vardas116      Pavarde116     6     	4     	10    	6     	4     	9     	4     	8     	9     	2     	7     	4     	3     	2     	7     	1     	
Vardas117      Pavarde117     4     	8     	8     	10    	4     	6     	2     	7     	10    	5     	6     	7     	4     	9     	10    	5     	
Vardas118      Pavarde118     6     	9     	3     	4     	1     	7     	9     	5     	6     	3     	9     	3     	3     	6     	2     	3     	
Vardas119      Pavarde119     3     	3     	8     	5     	7     	8     	4     	10    	2     	8     	7     	10    	5     	6     	5     	1     	
Vardas120      Pavarde120     2     	8     	1     	6     	1     	6     	5     	2     	8     	2     	10    	6     	6     	10    	1     	1     	
Vardas121      Pavarde121     7     	10    	10    	8     	7     	8     	4     	6     	1     	7     	6     	1     	8     	7     	4     	3     	
Vardas122      Pavarde122     8     	8     	2     	8     	7     	7     	8     	5     	10    	6     	8     	4     	8     	6     	8     	1     	
Vardas123      Pavarde123     9     	2     	1     	5     	3     	5     	7     	9     	4     	3     	2     	3     	8     	7     	9     	4     	
Vardas124      Pavarde124     2     	4     	5     	6     	5     	1     	6     	4     	7     	3     	5     	6     	2     	4     	10    	5     	
Vardas125      Pavarde125     2     	3     	9     	7     	8     	10    	1     	5     	8     	2     	2     	7     	8     	3     	3     	7     	
Vardas126      Pavarde126     7     	7     	6     	8     	2     	3     	3     	8     	4     	2     	8     	10    	1     	3     	7     	1     	
Vardas127      Pavarde127     10    	4     	7     	9     	2     	1     	1     	10    	4     	1     	4     	6     	2     	8     	8     	9     	
Vardas128      Pavarde128     5     	6     	6     	9     	1     	6     	9     	9     	2     	9     	3     	4     	4     	3     	9     	5     	
Vardas129      Pavarde129     7     	6     	4     	10    	10    	2     	9     	2     	7     	6     	1     	2     	3     	2     	8     	3     	
Vardas130      Pavarde130     5     	8     	3     	4     	9     	9     	8     	3     	4     	1     	4     	3     	7     	9     	9     	7     	
Vardas131      Pavarde131     2     	2     	5     	8     	2     	6     	2     	1     	7     	10    	6     	9     	9     	6     	5     	10    	
Vardas132      Pavarde132     10    	6     	3     	8     	1     	6     	4     	2     	10    	6     	8     	1     	3     	10    	1     	5     	
Vardas133      Pavarde133     3     	2     	3     	8     	5     	8     	9     	2     	7     	8     	3     	4     	7     	10    	4     	3     	
Vardas134      Pavarde134     8     	3     	4     	6     	3     	6     	2     	10    	2     	3     	2     	3     	4     	6     	5     	6     	
Vardas135      Pavarde135     4     	10    	3     	6     	10    	5     	3     	1     	9     	7     	4     	4     	2     	8     	9     	2     	
Vardas136      Pavarde136     2     	3     	5     	4     	9     	8     	10    	9     	7     	8     	8     	7     	5     	4     	9     	5     	
Vardas137      Pavarde137     5     	6     	7     	7     	4     	4     	8     	4     	8     	1     	7     	9     	5     	7     	9     	5     	
Vardas138      Pavarde138     6     	10    	5     	4     	6     	4     	5     	3     	10    	10    	1     	2     	5     	3     	6     	4     	
Vardas139      Pavarde139     2     	7     	10    	5     	5     	2     	8     	5     	7     	1     	3     	7     	1     	7     	7     	3     	
Vardas140      Pavarde140     10    	9     	8     	6     	10    	4     	2     	3     	10    	6     	4     	8     	2     	7     	4     	9     	
Vardas141      Pavarde141     8     	5     	2     	2     	10    	1     	8     	10    	8     	10    	10    	9     	5     	5     	9     	8     	
Vardas142      Pavarde142     5     	6     	1     	6     	5     	1     	10    	4     	10    	8     	8     	3     	8     	5     	2     	1     	
Vardas143      Pavarde143     6     	8     	5     	7     	4     	3     	4     	5     	3     	8     	2     	2     	9     	1     	6     	2     	
Vardas144      Pavarde144     7     	7     	4     	7     	2     	3     	6     	10    	8     	2     	6     	5     	10    	7     	7     	10    	
Vardas145      Pavarde145     2     	2     	6     	3     	8     	4     	9     	5     	8     	7     	10    	4     	6     	7     	8     	9     	
Vardas146      Pavarde146     5     	7     	9     	7     	8     	10    	5     	6     	7     	10    	6     	8     	8     	5     	2     	5     	
Vardas147      Pavarde147     4     	3     	5     	3     	10    	5     	7     	5     	10    	5     	8     	9     	1     	7     	3     	6     	
Vardas148      Pavarde148     8     	9     	7     	4     	8     	9     	10    	9     	3     	9     	10    	2     	8     	1     	1     	9     	
Vardas149      Pavarde149     9     	3     	10    	3     	1     	2     	2     	10    	3     	7     	9     	2     	2     	4     	7     	4     	
Vardas150      Pavarde150     1     	7     	10    	2     	8     	1     	3     	9     	7     	9     	4     	1     	3     	1     	4     	6     	
Vardas151      Pavarde151     2     	3     	8     	10    	3     	10    	4     	3     	9     	3     	4     	10    	3     	9     	4     	1     	
Vardas152      Pavarde152     3     	6     	6     	3     	2     	10    	2     	3     	10    	2     	8     	1     	10    	4     	9     	3     	
Vardas153      Pavarde153     6     	8     	9     	4     	7     	4     	4     	9     	2     	9     	4     	6     	8     	8     	1     	10    	
Vardas154      Pavarde154     2     	10    	9     	9     	6     	3     	1     	9     	4     	1     	4     	9     	9     	5     	9     	3     	
Vardas155      Pavarde155     3     	6     	8     	2     	3     	7     	7     	1     	7     	3     	10    	5     	6     	4     	8     	6     	
Vardas156      Pavarde156     4     	6     	3     	8     	9     	3     	10    	2     	10    	10    	9     	6     	6     	10    	2     	4     	
Vardas157      Pavarde157     8     	5     	2     	2     	8     	7     	8     	3     	7     	4     	8     	8     	5     	2     	10    	10    	
Vardas158      Pavarde158     6     	10    	5     	10    	3     	6     	6     	6     	6     	4     	7     	1     	4     	9     	7     	9     	
Vardas159      Pavarde159     8     	1     	5     	6     	2     	10    	7     	7     	4     	6     	2     	7     	10    	7     	4     	5     	
Vardas160      Pavarde160     2     	6     	7     	8     	5     	6     	1     	9     	1     	6     	2     	4     	4     	4     	10    	6     	
Vardas161      Pavarde161     4     	8     	6     	7     	1     	3     	2     	6     	3     	10    	10    	9     	5     	7     	9     	7     	
Vardas162      Pavarde162     6     	8     	3     	3     	2     	4     	10    	5     	4     	2     	6     	1     	5     	1     	7     	9     	
Vardas163      Pavarde163     7     	5     	9     	10    	9     	2     	1     	2     	3     	5     	1     	2     	10    	6     	9     	3     	
Vardas164      Pavarde164     5     	9     	3     	4     	8     	7     	10    	6     	5     	8     	3     	2     	9     	6     	7     	2     	
Vardas165      Pavarde165     7     	6     	10    	5     	1     	6     	1     	7     	10    	5     	4     	3     	1     	6     	5     	1     	
Vardas166      Pavarde166     7     	5     	3     	10    	1     	6     	5     	6     	1     	10    	3     	4     	9     	3     	5     	3     	
Vardas167      Pavarde167     6     	10    	4     	3     	9     	9     	2     	3     	2     	6     	8     	9     	10    	3     	10    	1     	
Vardas168      Pavarde168     9     	3     	7     	5     	7     	9     	4     	6     	6     	1     	5     	7     	1     	7     	10    	5     	
Vardas169      Pavarde169     6     	2     	6     	10    	3     	2     	8     	8     	5     	8     	3     	6     	6     	8     	5     	9     	
Vardas170      Pavarde170     4     	8     	2     	4     	5     	7     	8     	4     	8     	5     	9     	9     	10    	1     	8     	8     	
Vardas171      Pavarde171     3     	4     	7     	9     	6     	3     	10    	5     	3     	7     	10    	9     	2     	4     	2     	5     	
Vardas172      Pavarde172     5     	4     	1     	2     	5     	3     	5     	9     	3     	7     	3     	6     	7     	3     	2     	5     	
Vardas173      Pavarde173     10    	8     	5     	10    	6     	5     	5     	8     	4     	5     	4     	1     	2     	10    	5     	10    	
Vardas174      Pavarde174     6     	7     	10    	8     	4     	8     	1     	3     	6     	6     	1     	2     	7     	7     	1     	4     	
Vardas175      Pavarde175     4     	3     	4     	5     	6     	4     	8     	9     	10    	8     	10    	4     	7     	8     	1     	6     	
Vardas176      Pavarde176     3     	1     	5     	4     	6     	10    	9     	2     	3     	7     	3     	8     	1     	1     	9     	10    	
Vardas177      Pavarde177     6     	10    	8     	2     	3     	2     	10    	2     	2     	1     	3     	7     	8     	9     	6     	1     	
Vardas178      Pavarde178     4     	2     	3     	5     	8     	4     	5     	2     	9     	3     	3     	9     	5     	2     	9     	5     	
Vardas179      Pavarde179     3     	3     	5     	2     	8     	9     	2     	3     	5     	5     	2     	7     	7     	6     	4     	1     	
Vardas180      Pavarde180     5     	4     	1     	4     	6     	5     	8     	3     	4     	6     	8     	10    	10    	9     	9     	3     	
Vardas181      Pavarde181     1     	1     	1     	8     	4     	9     	9     	8     	8     	10    	5     	3     	3     	9     	3     	5     	
Vardas182      Pavarde182     7     	4     	8     	7     	4     	3     	5     	2     	10    	5     	3     	7     	7     	2     	7     	3     	
Vardas183      Pavarde183     5     	10    	6     	8     	3     	2     	10    	7     	4     	1     	3     	2     	10    	3     	6     	2     	
Vardas184      Pavarde184     1     	2     	8     	5     	5     	2     	6     	4     	6     	2     	1     	4     	7     	9     	5     	4     	
Vardas185      Pavarde185     8     	5     	3     	2     	1     	10    	10    	8     	8     	10    	7     	4     	7     	3     	8     	5     	
Vardas186      Pavarde186     4     	7     	7     	7     	7     	4     	1     	6     	1     	4     	1     	10    	1     	9     	7     	6     	
Vardas187      Pavarde187     6     	2     	10    	5     	3     	9     	8     	3     	5     	8     	7     	9     	4     	7     	1     	5     	
Vardas188      Pavarde188     9     	8     	7     	5     	9     	8     	8     	9     	10    	3     	4     	10    	9     	2     	9     	9     	
Vardas189      Pavarde189     1     	3     	8     	2     	5     	8     	7     	3     	10    	10    	3     	5     	8     	8     	1     	6     	
Vardas190      Pavarde190     7     	10    	2     	9     	7     	9     	8     	10    	3     	4     	3     	3     	7     	10    	2     	5     	
Vardas191      Pavarde191     7     	9     	3     	7     	8     	5     	5     	1     	2     	5     	3     	3     	8     	2     	9     	8     	
Vardas192      Pavarde192     2     	9     	7     	2     	10    	1     	3     	1     	10    	7     	10    	1     	4     	9     	1     	10    	
Vardas193      Pavarde193     5     	2     	5     	10    	8     	10    	4     	8     	4     	10    	8     	4     	2     	6     	6     	7     	
Vardas194      Pavarde194     3     	7     	2     	9     	1     	7     	5     	5     	1     	3     	10    	9     	7     	4     	5     	4     	
Vardas195      Pavarde195     2     	2     	6     	1     	9     	4     	4     	2     	5     	4     	4     	8     	9     	8     	10    	6     	
Vardas196      Pavarde196     8     	8     	4     	10    	4     	5     	5     	8     	2     	4     	8     	6     	1     	7     	3     	9     	
Vardas197      Pavarde197     10    	8     	7     	9     	1     	6     	4     	8     	1     	3     	6     	6     	7     	1     	8     	4     	
Vardas198      Pavarde198     6     	5     	6     	4     	4     	1     	5     	5     	4     	5     	6     	4     	8     	3     	10    	2     	
Vardas199      Pavarde199     3     	5     	10    	1     	7     	5     	5     	8     	9     	9     	5     	3     	5     	10    	10    	3     	
Vardas200      Pavarde200     10    	3     	1     	4     	6     	3     	4     	2     	4     	1     	1     	9     	10    	7     	10    	10    	
Vardas201      Pavarde201     5     	2     	4     	7     	6     	8     	10    	7     	3     	6     	8     	2     	7     	1     	8     	10    	
Vardas202      Pavarde202     1     	3     	1     	3     	2     	10    	10    	9     	3     	3     	9     	5     	8     	4     	9     	10    	
Vardas203      Pavarde203     5     	4     	9     	10    	9     	2     	3     	6     	7     	2     	1     	6     	4     	9     	3     	10    	
Vardas204      Pavarde204     2     	8     	9     	6     	10    	4     	6     	9     	7     	4     	1     	6     	3     	8     	5     	5     	
Vardas205      Pavarde205     4     	1     	1     	9     	9     	3     	9     	10    	6     	7     	10    	5     	2     	6     	1     	8     	
Vardas206      Pavarde206     7     	8     	3     	1     	10    	1     	10    	5     	9     	4     	8     	7     	2     	8     	7     	10    	
Vardas207      Pavarde207     8     	4     	1     	4     	3     	10    	1     	1     	2     	4     	10    	7     	8     	2     	5     	1     	
Vardas208      Pavarde208     10    	8     	2     	6     	7     	6     	10    	10    	1     	2     	7     	8     	9     	5     	5     	4     	
Vardas209      Pavarde209     5     	5     	5     	6     	1     	1     	7     	2     	8     	5     	1     	1     	7     	7     	7     	6     	
Vardas210      Pavarde210     8     	8     	10    	2     	1     	9     	7     	8     	6     	2     	10    	5     	10    	8     	9     	1     	
Vardas211      Pavarde211     4     	1     	10    	9     	1     	4     	3     	6     	6     	3     	9     	4     	3     	1     	1     	8     	
Vardas212      Pavarde212     3     	8     	7     	6     	7     	1     	1     	4     	9     	5     	5     	2     	1     	6     	1     	5     	
Vardas213      Pavarde213     8     	2     	10    	8     	1     	3     	6     	3     	4     	8     	5     	9     	5     	3     	2     	1     	
Vardas214      Pavarde214     1     	8     	5     	3     	8     	5     	5     	1     	3     	5     	7     	3     	9     	2     	3     	7     	
Vardas215      Pavarde215     9     	10    	3     	3     	5     	4     	3     	1     	5     	6     	4     	2     	3     	3     	7     	5     	
Vardas216      Pavarde216     2     	3     	2     	6     	7     	9     	5     	2     	9     	3     	5     	6     	8     	1     	2     	6     	
Vardas217      Pavarde217     5     	5     	1     	2     	3     	10    	2     	5     	7     	9     	3     	8     	9     	6     	6     	3     	
Vardas218      Pavarde218     1     	6     	10    	4     	5     	9     	10    	10    	4     	6     	10    	9     	5     	9     	10    	9     	
Vardas219      Pavarde219     5     	9     	5     	2     	4     	5     	4     	9     	2     	7     	6     	1     	8     	3     	3     	10    	
Vardas220      Pavarde220     4     	8     	5     	1     	10    	9     	4     	8     	9     	2     	8     	7     	5     	5     	7     	2     	
Vardas221      Pavarde221     10    	4     	10    	1     	1     	4     	7     	9     	5     	8     	10    	4     	9     	10    	4     	5     	
Vardas222      Pavarde222     6     	7     	1     	6     	8     	2     	8     	5     	5     	6     	4     	8     	9     	9     	3     	8     	
Vardas223      Pavarde223     4     	10    	7     	10    	7     	7     	1     	8     	4     	5     	7     	8     	2     	8     	8     	8     	
