Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas105      Pavarde105     1     	5     	4     	7     	6     	4     	10    	5     	9     	4     	10    	8     	1     	8     	1     	10    	
Vardas106      Pavarde106     10    	3     	6     	5     	3     	6     	6     	2     	8     	10    	7     	9     	4     	8     	8     	6     	
Vardas107      Pavarde107     10    	4     	9     	4     	9     	8     	8     	7     	2     	4     	9     	2     	6     	3     	3     	10    	
Vardas108      Pavarde108     1     	2     	2     	5     	1     	6     	5     	7     	10    	8     	8     	8     	1     	2     	2     	1     	
Vardas109      Pavarde109     4     	8     	3     	3     	4     	10    	10    	6     	9     	4     	1     	1     	7     	2     	7     	5     	
Vardas110      Pavarde110     3     	7     	8     	8     	7     	9     	3     	8     	2     	9     	7     	2     	5     	4     	5     	1     	
Vardas111      Pavarde111     2     	4     	5     	2     	3     	7     	10    	1     	9     	9     	4     	6     	6     	9     	1     	5     	
Vardas112      Pavarde112     1     	5     	6     	4     	8     	6     	1     	1     	5     	6     	9     	7     	4     	5     	5     	6     	
Vardas113      Pavarde113     1     	2     	2     	6     	6     	2     	8     	8     	5     	4     	3     	9     	7     	3     	7     	9     	
Vardas114      Pavarde114     8     	2     	4     	2     	1     	7     	6     	4     	7     	1     	6     	8     	7     	1     	1     	7     	
Vardas115      Pavarde115     10    	2     	6     	3     	8     	8     	9     	8     	9     	2     	3     	1     	10    	5     	10    	2     	
Vardas116      Pavarde116     2     	4     	6     	7     	8     	5     	7     	9     	4     	2     	1     	9     	5     	8     	8     	1     	
Vardas117      Pavarde117     9     	9     	5     	7     	9     	7     	5     	5     	3     	8     	3     	4     	10    	7     	3     	5     	
Vardas118      Pavarde118     7     	6     	6     	1     	2     	10    	8     	9     	1     	4     	6     	9     	7     	3     	3     	10    	
Vardas119      Pavarde119     2     	5     	7     	9     	5     	3     	10    	2     	4     	9     	5     	3     	10    	8     	4     	10    	
Vardas120      Pavarde120     5     	3     	4     	5     	4     	2     	2     	4     	8     	10    	4     	9     	4     	1     	7     	9     	
Vardas121      Pavarde121     3     	9     	8     	5     	3     	8     	8     	4     	1     	10    	3     	8     	9     	10    	1     	3     	
Vardas122      Pavarde122     7     	9     	8     	5     	5     	3     	1     	8     	6     	10    	9     	1     	5     	9     	3     	7     	
Vardas123      Pavarde123     8     	9     	9     	4     	2     	3     	1     	2     	7     	1     	10    	8     	2     	1     	5     	8     	
Vardas124      Pavarde124     2     	6     	3     	5     	1     	1     	5     	3     	6     	2     	2     	4     	5     	2     	9     	3     	
Vardas125      Pavarde125     6     	3     	4     	10    	4     	6     	10    	6     	7     	2     	3     	8     	7     	3     	10    	8     	
Vardas126      Pavarde126     3     	3     	6     	9     	9     	4     	8     	2     	5     	5     	5     	3     	9     	10    	5     	8     	
Vardas127      Pavarde127     8     	10    	8     	3     	6     	9     	2     	6     	7     	9     	8     	7     	8     	7     	10    	1     	
Vardas128      Pavarde128     2     	2     	9     	1     	8     	1     	9     	10    	3     	6     	8     	5     	1     	1     	1     	4     	
Vardas129      Pavarde129     10    	7     	10    	3     	1     	2     	10    	1     	1     	10    	1     	1     	2     	6     	6     	5     	
Vardas130      Pavarde130     8     	6     	9     	5     	2     	5     	6     	1     	9     	2     	3     	1     	5     	6     	10    	2     	
Vardas131      Pavarde131     2     	6     	5     	10    	4     	10    	1     	9     	5     	2     	1     	3     	7     	8     	4     	7     	
Vardas132      Pavarde132     7     	9     	6     	10    	8     	8     	6     	6     	5     	8     	6     	3     	5     	6     	9     	2     	
Vardas133      Pavarde133     10    	5     	7     	2     	5     	9     	9     	2     	2     	2     	5     	8     	3     	8     	4     	9     	
Vardas134      Pavarde134     8     	1     	4     	2     	3     	3     	4     	5     	1     	10    	9     	3     	5     	2     	7     	8     	
Vardas135      Pavarde135     1     	9     	10    	4     	10    	8     	8     	4     	7     	1     	7     	1     	8     	5     	9     	1     	
Vardas136      Pavarde136     9     	7     	3     	6     	5     	3     	8     	8     	4     	9     	2     	7     	5     	4     	4     	9     	
Vardas137      Pavarde137     10    	7     	7     	3     	4     	7     	1     	1     	10    	8     	8     	2     	5     	4     	1     	7     	
Vardas138      Pavarde138     10    	4     	9     	7     	9     	8     	2     	8     	1     	9     	5     	3     	3     	2     	9     	2     	
Vardas139      Pavarde139     3     	1     	5     	8     	8     	2     	9     	4     	4     	2     	1     	1     	8     	1     	2     	4     	
Vardas140      Pavarde140     9     	3     	5     	3     	4     	7     	9     	10    	3     	10    	3     	5     	4     	8     	9     	5     	
Vardas141      Pavarde141     4     	8     	10    	10    	10    	9     	1     	10    	3     	8     	9     	9     	6     	2     	3     	7     	
Vardas142      Pavarde142     3     	4     	2     	2     	8     	2     	10    	6     	8     	3     	2     	7     	3     	4     	7     	6     	
Vardas143      Pavarde143     4     	7     	7     	1     	5     	8     	9     	4     	10    	6     	8     	1     	3     	7     	4     	8     	
Vardas144      Pavarde144     6     	4     	2     	6     	4     	2     	3     	9     	3     	7     	5     	8     	8     	6     	7     	3     	
Vardas145      Pavarde145     3     	1     	10    	6     	4     	7     	1     	5     	7     	1     	5     	6     	7     	3     	3     	2     	
Vardas146      Pavarde146     10    	4     	3     	3     	6     	9     	5     	5     	3     	1     	8     	10    	1     	3     	2     	7     	
Vardas147      Pavarde147     1     	3     	10    	6     	8     	5     	10    	2     	1     	1     	3     	2     	10    	10    	1     	10    	
Vardas148      Pavarde148     7     	3     	9     	10    	3     	4     	1     	2     	7     	8     	2     	1     	2     	3     	2     	7     	
Vardas149      Pavarde149     9     	2     	6     	7     	9     	7     	5     	8     	6     	7     	10    	6     	2     	1     	7     	3     	
Vardas150      Pavarde150     9     	10    	1     	8     	3     	10    	2     	5     	10    	6     	10    	2     	4     	9     	2     	1     	
Vardas151      Pavarde151     5     	8     	5     	8     	6     	10    	6     	4     	7     	6     	8     	4     	3     	2     	5     	1     	
Vardas152      Pavarde152     7     	6     	7     	10    	8     	7     	5     	5     	1     	4     	8     	8     	1     	4     	6     	4     	
Vardas153      Pavarde153     2     	8     	3     	6     	3     	7     	5     	8     	6     	5     	2     	4     	7     	2     	1     	2     	
Vardas154      Pavarde154     5     	8     	5     	7     	8     	7     	6     	8     	2     	6     	9     	10    	8     	7     	7     	1     	
Vardas155      Pavarde155     2     	3     	8     	7     	5     	1     	8     	7     	6     	1     	2     	6     	5     	1     	1     	6     	
Vardas156      Pavarde156     7     	10    	1     	9     	10    	2     	8     	4     	6     	9     	4     	4     	7     	6     	8     	8     	
Vardas157      Pavarde157     1     	4     	9     	5     	1     	9     	7     	9     	1     	9     	7     	7     	9     	2     	10    	5     	
Vardas158      Pavarde158     10    	6     	10    	2     	8     	9     	9     	3     	7     	9     	9     	10    	3     	1     	4     	9     	
Vardas159      Pavarde159     7     	3     	5     	7     	7     	9     	10    	5     	8     	8     	9     	2     	6     	10    	3     	7     	
Vardas160      Pavarde160     10    	8     	4     	4     	3     	3     	2     	2     	4     	2     	2     	7     	10    	2     	8     	5     	
Vardas161      Pavarde161     7     	9     	7     	10    	5     	10    	8     	8     	10    	8     	4     	4     	4     	2     	6     	4     	
Vardas162      Pavarde162     6     	3     	6     	7     	4     	5     	4     	1     	7     	8     	6     	7     	1     	8     	10    	8     	
Vardas163      Pavarde163     2     	10    	3     	10    	6     	8     	6     	4     	3     	10    	6     	8     	3     	9     	8     	8     	
Vardas164      Pavarde164     7     	4     	5     	5     	6     	3     	3     	4     	9     	4     	5     	5     	5     	4     	2     	2     	
Vardas165      Pavarde165     2     	4     	8     	3     	10    	5     	6     	2     	4     	1     	3     	1     	5     	6     	5     	1     	
Vardas166      Pavarde166     10    	10    	6     	7     	5     	8     	9     	10    	10    	2     	10    	8     	7     	8     	5     	4     	
Vardas167      Pavarde167     10    	2     	1     	5     	2     	5     	6     	7     	1     	9     	5     	1     	2     	2     	7     	7     	
Vardas168      Pavarde168     7     	2     	9     	3     	8     	10    	8     	9     	10    	2     	8     	10    	8     	1     	9     	4     	
Vardas169      Pavarde169     7     	1     	5     	9     	7     	9     	3     	8     	10    	1     	4     	7     	2     	9     	3     	10    	
Vardas170      Pavarde170     3     	6     	5     	9     	9     	8     	8     	2     	9     	7     	5     	2     	5     	10    	9     	5     	
Vardas171      Pavarde171     7     	10    	1     	7     	1     	8     	1     	7     	9     	9     	8     	2     	10    	3     	5     	3     	
Vardas172      Pavarde172     4     	3     	6     	6     	5     	1     	5     	6     	5     	1     	5     	8     	10    	8     	3     	1     	
Vardas173      Pavarde173     6     	2     	8     	6     	5     	5     	6     	5     	10    	6     	1     	4     	1     	10    	5     	9     	
Vardas174      Pavarde174     8     	5     	8     	9     	7     	8     	6     	4     	3     	3     	3     	6     	9     	1     	5     	6     	
Vardas175      Pavarde175     4     	1     	3     	8     	6     	8     	9     	1     	7     	5     	8     	8     	6     	5     	10    	10    	
Vardas176      Pavarde176     3     	9     	7     	4     	4     	6     	2     	6     	6     	1     	4     	7     	5     	4     	2     	1     	
Vardas177      Pavarde177     5     	5     	10    	8     	9     	10    	3     	4     	7     	2     	1     	4     	5     	6     	7     	4     	
Vardas178      Pavarde178     6     	9     	7     	10    	9     	4     	7     	5     	10    	6     	5     	7     	5     	8     	3     	5     	
Vardas179      Pavarde179     10    	3     	10    	10    	9     	9     	2     	10    	2     	3     	9     	7     	5     	6     	7     	8     	
Vardas180      Pavarde180     7     	6     	9     	3     	3     	6     	3     	3     	1     	5     	6     	1     	3     	7     	9     	7     	
Vardas181      Pavarde181     1     	7     	10    	10    	5     	9     	7     	5     	7     	5     	6     	8     	6     	10    	3     	6     	
Vardas182      Pavarde182     4     	3     	2     	8     	4     	6     	7     	8     	1     	2     	8     	8     	1     	1     	3     	1     	
Vardas183      Pavarde183     5     	4     	10    	7     	3     	10    	2     	10    	9     	4     	5     	2     	6     	4     	3     	3     	
Vardas184      Pavarde184     3     	5     	2     	9     	5     	8     	5     	4     	1     	5     	3     	8     	7     	6     	8     	5     	
Vardas185      Pavarde185     8     	1     	3     	2     	4     	10    	8     	5     	2     	4     	6     	10    	5     	1     	1     	5     	
Vardas186      Pavarde186     1     	10    	1     	5     	8     	5     	1     	3     	3     	10    	6     	1     	10    	9     	7     	2     	
Vardas187      Pavarde187     5     	1     	1     	8     	3     	9     	2     	4     	4     	7     	2     	4     	4     	3     	6     	10    	
Vardas188      Pavarde188     9     	2     	4     	9     	5     	4     	6     	3     	5     	4     	2     	4     	7     	6     	7     	3     	
Vardas189      Pavarde189     9     	3     	10    	1     	3     	2     	9     	4     	4     	9     	4     	10    	3     	6     	7     	8     	
Vardas190      Pavarde190     4     	2     	3     	3     	7     	5     	8     	3     	10    	9     	10    	5     	5     	10    	1     	9     	
Vardas191      Pavarde191     5     	9     	8     	10    	6     	7     	9     	10    	8     	9     	2     	7     	9     	7     	8     	4     	
Vardas192      Pavarde192     2     	3     	1     	2     	1     	9     	10    	8     	9     	9     	7     	10    	9     	10    	4     	2     	
Vardas193      Pavarde193     1     	5     	10    	7     	7     	4     	2     	9     	5     	7     	6     	9     	8     	10    	5     	3     	
Vardas194      Pavarde194     5     	2     	6     	8     	1     	2     	3     	7     	8     	10    	7     	5     	5     	9     	4     	10    	
Vardas195      Pavarde195     2     	5     	7     	2     	8     	5     	9     	4     	9     	2     	9     	5     	6     	4     	7     	6     	
Vardas196      Pavarde196     8     	10    	7     	6     	7     	8     	8     	9     	7     	6     	9     	9     	6     	9     	9     	6     	
Vardas197      Pavarde197     3     	2     	6     	7     	8     	8     	10    	8     	1     	5     	2     	10    	10    	3     	6     	3     	
Vardas198      Pavarde198     4     	1     	4     	5     	2     	6     	10    	5     	10    	3     	2     	9     	10    	4     	7     	1     	
Vardas199      Pavarde199     5     	9     	1     	3     	2     	7     	5     	7     	10    	6     	4     	7     	10    	7     	10    	2     	
Vardas200      Pavarde200     4     	3     	7     	7     	5     	3     	1     	8     	9     	6     	4     	6     	1     	6     	5     	2     	
Vardas201      Pavarde201     7     	9     	6     	3     	3     	4     	6     	2     	2     	3     	3     	1     	3     	10    	1     	3     	
Vardas202      Pavarde202     5     	1     	8     	8     	5     	4     	1     	10    	4     	7     	2     	10    	2     	7     	3     	1     	
Vardas203      Pavarde203     1     	2     	3     	5     	10    	5     	10    	3     	6     	7     	3     	7     	2     	8     	7     	7     	
Vardas204      Pavarde204     10    	9     	1     	10    	9     	8     	10    	8     	6     	9     	7     	2     	3     	2     	8     	8     	
Vardas205      Pavarde205     2     	3     	3     	2     	7     	10    	7     	7     	9     	9     	7     	6     	10    	2     	5     	10    	
Vardas206      Pavarde206     5     	7     	4     	7     	5     	2     	3     	10    	5     	8     	2     	7     	4     	4     	2     	6     	
Vardas207      Pavarde207     2     	6     	7     	10    	2     	7     	6     	9     	1     	5     	8     	3     	2     	6     	7     	3     	
Vardas208      Pavarde208     8     	1     	6     	3     	6     	7     	2     	8     	7     	5     	9     	8     	7     	1     	8     	9     	
Vardas209      Pavarde209     10    	1     	7     	7     	4     	2     	1     	3     	3     	10    	5     	5     	10    	4     	10    	3     	
Vardas210      Pavarde210     3     	2     	6     	3     	7     	10    	6     	4     	4     	9     	7     	9     	6     	3     	10    	3     	
Vardas211      Pavarde211     8     	8     	6     	6     	9     	9     	7     	6     	6     	10    	4     	1     	6     	8     	7     	6     	
Vardas212      Pavarde212     1     	7     	10    	3     	3     	7     	6     	10    	4     	3     	1     	1     	6     	2     	1     	2     	
Vardas213      Pavarde213     4     	9     	8     	3     	4     	10    	4     	9     	8     	3     	10    	2     	1     	9     	1     	2     	
Vardas214      Pavarde214     8     	7     	3     	5     	6     	6     	10    	2     	6     	1     	10    	5     	3     	9     	8     	6     	
Vardas215      Pavarde215     4     	3     	9     	3     	9     	10    	5     	9     	8     	4     	2     	3     	1     	9     	3     	6     	
Vardas216      Pavarde216     3     	6     	9     	9     	1     	7     	7     	3     	9     	8     	4     	8     	5     	1     	7     	9     	
Vardas217      Pavarde217     1     	2     	2     	6     	3     	2     	4     	10    	3     	2     	9     	7     	6     	2     	6     	10    	
Vardas218      Pavarde218     2     	6     	9     	3     	3     	4     	8     	5     	10    	3     	10    	8     	8     	1     	6     	8     	
Vardas219      Pavarde219     2     	7     	9     	1     	8     	8     	8     	3     	6     	4     	6     	5     	2     	2     	9     	5     	
Vardas220      Pavarde220     10    	8     	4     	5     	6     	5     	7     	10    	6     	9     	7     	10    	2     	1     	2     	9     	
Vardas221      Pavarde221     3     	9     	1     	1     	6     	6     	4     	1     	6     	4     	7     	4     	10    	4     	4     	5     	
Vardas222      Pavarde222     2     	1     	10    	10    	6     	8     	5     	1     	2     	9     	5     	7     	7     	7     	3     	3     	
Vardas223      Pavarde223     10    	3     	5     	8     	8     	7     	7     	7     	10    	1     	4     	9     	10    	9     	3     	3     	
